SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009
40,3,6,1,0,Alabama,Alabama,4447100,4447382,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708
50,3,6,1,1,Alabama,Autauga County,43671,43671,43872,44434,45157,45762,46933,47870,49105,49834,50354,50756
50,3,6,1,3,Alabama,Baldwin County,140415,140415,141358,144988,148141,151707,156573,162564,168516,172815,176212,179878
50,3,6,1,5,Alabama,Barbour County,29038,29038,29035,29223,29289,29480,29458,29452,29556,29736,29836,29737
50,3,6,1,7,Alabama,Bibb County,20826,19889,19936,20942,20983,21037,21208,21375,21285,21485,21589,21587
50,3,6,1,9,Alabama,Blount County,51024,51022,51181,51999,52775,53726,54469,55035,55978,56866,57794,58345
50,3,6,1,11,Alabama,Bullock County,11714,11626,11604,11381,11261,11305,11038,10975,10739,10966,10921,10985
50,3,6,1,13,Alabama,Butler County,21399,21399,21313,21036,20607,20536,20476,20338,20231,20243,20171,19964
50,3,6,1,15,Alabama,Calhoun County,112249,112243,111342,111019,110860,111378,111615,112081,112453,112808,113422,114081
50,3,6,1,17,Alabama,Chambers County,36583,36614,36593,36281,35952,35626,35387,35173,34822,34731,34473,34320
50,3,6,1,19,Alabama,Cherokee County,23988,23986,24053,24078,24143,24159,24291,24268,24531,24474,24413,24448
50,3,6,1,21,Alabama,Chilton County,39593,39593,39781,40030,40460,40776,41170,41510,41821,42362,42696,42971
50,3,6,1,23,Alabama,Choctaw County,15922,15922,15850,15652,15342,15168,14894,14507,14389,14178,14083,13990
50,3,6,1,25,Alabama,Clarke County,27867,27873,27833,27634,27273,27076,26944,26740,26729,26416,26264,26042
50,3,6,1,27,Alabama,Clay County,14254,14254,14264,14257,14173,14066,13939,13847,13777,13772,13807,13640
50,3,6,1,29,Alabama,Cleburne County,14123,14123,14156,14196,14376,14378,14264,14276,14433,14692,14736,14759
50,3,6,1,31,Alabama,Coffee County,43615,43620,43540,43581,43759,44186,44712,45159,45639,46806,47773,48635
50,3,6,1,33,Alabama,Colbert County,54984,54984,55024,54841,54594,54319,54427,54399,54462,54606,54626,54639
50,3,6,1,35,Alabama,Conecuh County,14089,14089,14040,13894,13699,13436,13238,13176,13309,13118,13038,12931
50,3,6,1,37,Alabama,Coosa County,12202,11855,11843,11746,11539,11423,11156,10964,10857,10783,10724,10556
50,3,6,1,39,Alabama,Covington County,37631,37633,37490,36939,36661,36495,36322,36594,36717,36804,36646,36678
50,3,6,1,41,Alabama,Crenshaw County,13665,13665,13696,13700,13580,13562,13602,13541,13688,13741,13686,13781
50,3,6,1,43,Alabama,Cullman County,77483,77483,77580,77661,77814,78110,78711,79382,79871,80602,81518,81778
50,3,6,1,45,Alabama,Dale County,49129,49128,49068,49001,49070,49052,48691,48319,48038,48263,48400,48147
50,3,6,1,47,Alabama,Dallas County,46365,46379,46181,45910,44944,44504,43927,43358,43050,42780,42627,41925
50,3,6,1,49,Alabama,DeKalb County,64452,64454,64638,65519,65545,66009,66574,66920,67447,68275,68894,69380
50,3,6,1,51,Alabama,Elmore County,65874,65874,66230,67566,68822,70151,71276,73241,75511,77459,78125,79233
50,3,6,1,53,Alabama,Escambia County,38440,38440,38402,38430,38319,38028,37888,37642,37572,37623,37532,37434
50,3,6,1,55,Alabama,Etowah County,103459,103460,103313,102914,102815,102698,102657,102602,102854,103216,103435,103645
50,3,6,1,57,Alabama,Fayette County,18495,18495,18456,18341,18244,18145,17998,18012,17758,17538,17577,17371
50,3,6,1,59,Alabama,Franklin County,31223,31223,31208,31112,30766,30684,30533,30673,30791,30627,31051,31091
50,3,6,1,61,Alabama,Geneva County,25764,25762,25790,25528,25458,25481,25458,25584,25769,25717,25971,25961
50,3,6,1,63,Alabama,Greene County,9974,9977,9946,9864,9840,9697,9534,9472,9119,9100,9039,8829
50,3,6,1,65,Alabama,Hale County,17185,18271,18288,18271,18047,18013,17876,17921,17901,18091,18083,17975
50,3,6,1,67,Alabama,Henry County,16310,16310,16344,16301,16326,16370,16432,16424,16555,16653,16623,16647
50,3,6,1,69,Alabama,Houston County,88787,88787,88919,89437,89849,91147,92374,93614,95511,97392,98852,100085
50,3,6,1,71,Alabama,Jackson County,53926,53926,54029,53972,53648,53483,53217,52923,52998,52796,52934,52838
50,3,6,1,73,Alabama,Jefferson County,662047,662062,662214,661494,659766,660486,660016,659715,661447,661477,663394,665027
50,3,6,1,75,Alabama,Lamar County,15904,15904,15905,15561,15317,15065,14828,14707,14456,14484,14341,14200
50,3,6,1,77,Alabama,Lauderdale County,87966,87960,87982,87393,86872,86944,87203,87437,87992,88522,89200,89599
50,3,6,1,79,Alabama,Lawrence County,34803,34809,34856,34836,34643,34393,34204,34293,33875,34151,34047,34106
50,3,6,1,81,Alabama,Lee County,115092,115094,115511,116759,118197,119631,121698,125350,128217,130791,133105,135883
50,3,6,1,83,Alabama,Limestone County,65676,65676,65930,66643,67108,67685,68407,69792,71795,73909,76314,78572
50,3,6,1,85,Alabama,Lowndes County,13473,13468,13487,13451,13459,13316,13033,12898,12711,12664,12592,12293
50,3,6,1,87,Alabama,Macon County,24105,24105,24075,23980,23651,23470,23041,22736,22544,22258,22195,21789
50,3,6,1,89,Alabama,Madison County,276700,276952,277868,281264,286037,290763,294814,300272,307509,313796,320914,327744
50,3,6,1,91,Alabama,Marengo County,22539,22537,22566,22179,22161,21930,21649,21405,21335,21265,21100,20943
50,3,6,1,93,Alabama,Marion County,31214,31214,31149,30588,30235,29972,29712,29493,29585,29501,29378,29116
50,3,6,1,95,Alabama,Marshall County,82231,82231,82333,82191,82922,83592,84161,85298,86760,87970,89200,90399
50,3,6,1,97,Alabama,Mobile County,399843,399843,400061,400094,398417,397707,397521,398369,402199,405234,409132,411721
50,3,6,1,99,Alabama,Monroe County,24324,24324,24281,24004,23803,23532,23351,23169,22986,22759,22648,22389
50,3,6,1,101,Alabama,Montgomery County,223510,223509,223413,222901,222936,222486,222085,222220,225333,225648,224525,224119
50,3,6,1,103,Alabama,Morgan County,111064,111064,111194,111494,111397,112287,112210,112951,114297,115148,116297,117293
50,3,6,1,105,Alabama,Perry County,11861,11863,11808,11632,11521,11241,11078,10787,10554,10726,10753,10623
50,3,6,1,107,Alabama,Pickens County,20949,20949,20904,20823,20708,20316,20096,19834,19698,19503,19385,19218
50,3,6,1,109,Alabama,Pike County,29605,29693,29734,29631,29279,29413,29727,29685,29975,30186,30371,30461
50,3,6,1,111,Alabama,Randolph County,22380,22380,22414,22470,22429,22268,22394,22472,22461,22389,22620,22577
50,3,6,1,113,Alabama,Russell County,49756,49754,49692,49408,49188,48684,48980,49094,49695,50227,50285,50846
50,3,6,1,115,Alabama,St. Clair County,64742,64742,65079,66013,67090,68292,69966,72004,75223,78515,80287,81895
50,3,6,1,117,Alabama,Shelby County,143293,143279,144523,149280,153918,159608,165723,171678,178840,183478,188483,192503
50,3,6,1,119,Alabama,Sumter County,14798,14798,14748,14555,14143,13996,13869,13640,13471,13269,13102,12853
50,3,6,1,121,Alabama,Talladega County,80321,80325,80338,80291,80247,79776,79746,79902,80124,80186,80495,80242
50,3,6,1,123,Alabama,Tallapoosa County,41475,41824,41743,41390,40947,40693,40605,40445,40719,40797,40920,41008
50,3,6,1,125,Alabama,Tuscaloosa County,164875,164867,165191,166110,166610,167484,169051,172060,176899,178998,181780,184035
50,3,6,1,127,Alabama,Walker County,70713,70713,70680,70577,70097,69514,69153,69124,68978,68655,68903,68742
50,3,6,1,129,Alabama,Washington County,18097,18097,18112,17890,17795,17743,17579,17410,17369,17124,17088,17069
50,3,6,1,131,Alabama,Wilcox County,13183,13020,12980,12908,12928,12781,12721,12642,12538,12580,12617,12384
50,3,6,1,133,Alabama,Winston County,24843,24843,24882,24546,24468,24350,24307,24236,24321,24326,24068,23997
40,4,9,2,0,Alaska,Alaska,626932,626931,627499,633316,642691,650884,661569,669488,677325,682297,688125,698473
50,4,9,2,13,Alaska,Aleutians East Borough,2697,2697,2686,2461,2640,2677,2637,2637,2619,2818,2724,2744
50,4,9,2,16,Alaska,Aleutians West Census Area,5465,5465,5435,5343,5170,5439,5464,5422,5019,4763,4604,4659
50,4,9,2,20,Alaska,Anchorage Municipality,260283,260283,260586,263929,268163,271616,274852,276863,279935,278504,280471,286174
50,4,9,2,50,Alaska,Bethel Census Area,16006,16046,16103,16247,16541,16699,16834,16997,17090,17100,17215,17352
50,4,9,2,60,Alaska,Bristol Bay Borough,1258,1258,1230,1181,1136,1101,1093,1104,1038,997,956,881
50,4,9,2,68,Alaska,Denali Borough,1893,1893,1892,1840,1860,1863,1896,1835,1828,1805,1821,1851
50,4,9,2,70,Alaska,Dillingham Census Area,4922,4922,4922,4866,4951,4877,4921,4938,4945,4963,4926,4957
50,4,9,2,90,Alaska,Fairbanks North Star Borough,82840,82840,82769,85233,87329,89198,92301,94451,94803,97952,98351,98660
50,4,9,2,100,Alaska,Haines Borough,2392,2392,2397,2321,2301,2309,2243,2232,2245,2315,2327,2399
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,X,2574,2561,2528,2463,2353,2294,2270,2228,2203,2182,2127
50,4,9,2,110,Alaska,Juneau City and Borough,30711,30711,30668,30480,30717,30892,30978,30872,30681,30544,30991,30796
50,4,9,2,122,Alaska,Kenai Peninsula Borough,49691,49691,49648,50036,50822,50923,51321,51527,52179,53238,53651,54665
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,14070,14066,13983,13743,13540,13266,13122,13150,13302,13124,13081,13005
50,4,9,2,150,Alaska,Kodiak Island Borough,13913,13913,13966,13717,13629,13303,13178,13050,13093,13074,13170,13346
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1823,1823,1809,1693,1585,1574,1576,1557,1529,1525,1494,1485
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,59322,59322,59848,61910,64540,67515,71205,74988,79406,82404,85319,88379
50,4,9,2,180,Alaska,Nome Census Area,9196,9196,9171,9188,9185,9260,9397,9377,9293,9310,9326,9391
50,4,9,2,185,Alaska,North Slope Borough,7385,7385,7369,7212,7149,7125,6942,6798,6675,6630,6725,6752
50,4,9,2,188,Alaska,Northwest Arctic Borough,7208,7208,7219,7244,7234,7277,7363,7374,7438,7425,7467,7444
50,4,9,2,195,Alaska,Petersburg Census Area,X,4256,4248,4198,4087,3995,4051,3956,3876,3888,3816,3773
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,X,6126,6105,5902,5700,5684,5665,5588,5646,5531,5535,5560
50,4,9,2,220,Alaska,Sitka City and Borough,8835,8835,8833,8725,8847,8845,8850,8929,8940,8728,8711,8747
50,4,9,2,230,Alaska,Skagway Municipality,X,862,868,863,854,876,909,917,909,902,905,920
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,6174,6174,6173,5696,5612,5701,5970,6470,6758,6855,6824,6892
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,10195,10195,10220,10093,10037,9942,9895,9813,9715,9462,9332,9324
50,4,9,2,270,Alaska,Wade Hampton Census Area,7028,7028,7042,7088,7162,7286,7446,7455,7464,7583,7654,7731
50,4,9,2,275,Alaska,Wrangell City and Borough,X,2452,2454,2395,2316,2254,2178,2171,2168,2168,2185,2147
50,4,9,2,282,Alaska,Yakutat City and Borough,808,808,801,799,749,729,711,677,658,675,650,685
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,6551,6510,6493,6385,6372,6305,6277,6070,5845,5811,5712,5627
40,4,8,4,0,Arizona,Arizona,5130632,5130607,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778
50,4,8,4,1,Arizona,Apache County,69423,69423,69516,67857,67267,67938,67943,68250,69066,69278,69520,70591
50,4,8,4,3,Arizona,Cochise County,117755,117732,118028,118573,119750,121175,123235,125637,126751,127736,128425,129518
50,4,8,4,5,Arizona,Coconino County,116320,116318,116717,117803,120390,121545,123349,124804,126029,127451,128426,129849
50,4,8,4,7,Arizona,Gila County,51335,51330,51355,51165,51225,50906,50848,50914,51635,52231,52273,52199
50,4,8,4,9,Arizona,Graham County,33489,33489,33541,33307,33120,32785,32441,32629,33286,34736,36204,37045
50,4,8,4,11,Arizona,Greenlee County,8547,8547,8542,8281,7706,7381,7307,7292,7465,7760,8058,8041
50,4,8,4,12,Arizona,La Paz County,19715,19715,19643,19537,19346,19516,19696,20007,20118,20133,20005,20012
50,4,8,4,13,Arizona,Maricopa County,3072149,3072168,3097378,3200075,3299127,3391391,3502635,3647131,3776118,3872962,3958263,4023132
50,4,8,4,15,Arizona,Mohave County,155032,155032,156194,159840,165177,171019,178313,185940,192724,195852,195601,194825
50,4,8,4,17,Arizona,Navajo County,97470,97468,97876,98549,101358,103220,105020,106968,109000,110999,112348,112975
50,4,8,4,19,Arizona,Pima County,843746,843742,848521,865694,886063,903320,924205,948965,975476,996593,1009832,1020200
50,4,8,4,21,Arizona,Pinal County,179727,179720,181283,188370,197830,208772,220724,237457,270453,302633,329060,340962
50,4,8,4,23,Arizona,Santa Cruz County,38381,38381,38542,38914,39288,39541,40177,41113,42040,42692,43133,43771
50,4,8,4,25,Arizona,Yavapai County,167517,167516,168886,173285,178390,183400,189532,197533,206672,212004,214930,215686
50,4,8,4,27,Arizona,Yuma County,160026,160026,160675,163167,166071,169297,174000,180194,185267,189181,193299,196972
40,3,7,5,0,Arkansas,Arkansas,2673400,2673386,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450
50,3,7,5,1,Arkansas,Arkansas County,20749,20743,20672,20502,20263,19883,19863,19836,19655,19315,19146,18971
50,3,7,5,3,Arkansas,Ashley County,24209,24207,24160,23823,23758,23478,23171,22783,22515,22258,22186,21941
50,3,7,5,5,Arkansas,Baxter County,38386,38382,38465,38417,38642,38943,39546,40237,41155,41845,41946,42157
50,3,7,5,7,Arkansas,Benton County,153406,153343,154791,160429,167038,174785,183211,192183,201509,210963,219494,225504
50,3,7,5,9,Arkansas,Boone County,33948,33948,34051,34253,34432,34507,34841,35408,35959,36653,36863,36821
50,3,7,5,11,Arkansas,Bradley County,12600,12600,12603,12487,12438,12395,12268,12196,11986,11964,11899,11790
50,3,7,5,13,Arkansas,Calhoun County,5744,5744,5717,5580,5605,5564,5484,5535,5526,5473,5324,5196
50,3,7,5,15,Arkansas,Carroll County,25357,25361,25411,25678,25984,26279,26370,26821,27083,27278,27486,27938
50,3,7,5,17,Arkansas,Chicot County,14117,14117,14083,13769,13390,13180,12857,12720,12501,12308,12045,11823
50,3,7,5,19,Arkansas,Clark County,23546,23546,23508,23654,23548,23294,23237,23209,23392,23684,23883,23835
50,3,7,5,21,Arkansas,Clay County,17609,17609,17542,17256,16972,16769,16588,16483,16315,16068,15774,15585
50,3,7,5,23,Arkansas,Cleburne County,24046,24046,24113,24188,24324,24606,24868,25070,25176,25282,25334,25600
50,3,7,5,25,Arkansas,Cleveland County,8571,8571,8544,8621,8596,8629,8652,8741,8692,8735,8597,8436
50,3,7,5,27,Arkansas,Columbia County,25603,25607,25564,25311,25171,24815,24791,24572,24622,24308,24104,23854
50,3,7,5,29,Arkansas,Conway County,20336,20336,20321,20336,20297,20338,20351,20460,20481,20678,20677,20799
50,3,7,5,31,Arkansas,Craighead County,82148,82148,82518,83274,83978,84953,86296,87443,89669,91383,93419,95457
50,3,7,5,33,Arkansas,Crawford County,53247,53247,53376,54100,54698,55317,56149,56910,58077,59035,59577,60102
50,3,7,5,35,Arkansas,Crittenden County,50866,50866,50976,51235,51166,50998,51264,51471,51817,52123,52561,53022
50,3,7,5,37,Arkansas,Cross County,19526,19526,19476,19469,19254,19096,19046,19207,18911,18627,18718,18544
50,3,7,5,39,Arkansas,Dallas County,9210,9210,9158,8988,8780,8665,8637,8458,8321,8191,8107,7991
50,3,7,5,41,Arkansas,Desha County,15341,15341,15306,14993,14647,14485,14377,14118,14016,13715,13478,13358
50,3,7,5,43,Arkansas,Drew County,18723,18724,18703,18716,18486,18620,18693,18714,18814,18693,18652,18624
50,3,7,5,45,Arkansas,Faulkner County,86014,86012,86456,88704,90392,93292,95710,98678,102331,104658,107289,109386
50,3,7,5,47,Arkansas,Franklin County,17771,17773,17747,17823,17829,17856,17879,17973,18031,18098,18069,18016
50,3,7,5,49,Arkansas,Fulton County,11642,11642,11655,11602,11586,11596,11760,11727,11643,11793,11750,11585
50,3,7,5,51,Arkansas,Garland County,88068,88068,88350,89311,90151,91196,92028,93253,95492,96499,97700,98479
50,3,7,5,53,Arkansas,Grant County,16464,16464,16488,16627,16655,16743,17041,17254,17455,17506,17744,17760
50,3,7,5,55,Arkansas,Greene County,37331,37331,37504,37807,38030,38304,38668,39126,39907,40302,40618,40996
50,3,7,5,57,Arkansas,Hempstead County,23587,23585,23560,23310,23249,23187,23103,23092,23169,23212,22969,23027
50,3,7,5,59,Arkansas,Hot Spring County,30353,30353,30383,30325,30391,30416,30595,30974,31580,31859,31906,31787
50,3,7,5,61,Arkansas,Howard County,14300,14300,14252,14230,14221,14301,14254,14345,14220,14106,14305,14291
50,3,7,5,63,Arkansas,Independence County,34233,34233,34270,34162,34138,34119,34269,34277,34377,34516,34508,34634
50,3,7,5,65,Arkansas,Izard County,13249,13253,13276,13199,13109,13222,13186,13127,13138,13031,13094,13038
50,3,7,5,67,Arkansas,Jackson County,18418,18419,18351,17809,17685,17370,17575,17502,17178,17039,16811,16658
50,3,7,5,69,Arkansas,Jefferson County,84278,84284,84218,83442,82974,82445,81747,80849,80405,79413,79117,78705
50,3,7,5,71,Arkansas,Johnson County,22781,22781,22799,22932,23226,23472,23711,23937,24295,24778,24876,24994
50,3,7,5,73,Arkansas,Lafayette County,8559,8555,8527,8349,8192,8181,8065,7933,7754,7716,7669,7504
50,3,7,5,75,Arkansas,Lawrence County,17774,17774,17679,17699,17573,17418,17280,17021,16813,16867,16978,16882
50,3,7,5,77,Arkansas,Lee County,12580,12580,12528,12354,12120,11685,11420,11259,10941,10702,10660,10319
50,3,7,5,79,Arkansas,Lincoln County,14492,14493,14474,14433,14424,14343,14137,14090,13833,13695,13593,13553
50,3,7,5,81,Arkansas,Little River County,13628,13628,13610,13303,13351,13261,13047,12950,12952,12887,12865,12952
50,3,7,5,83,Arkansas,Logan County,22486,22486,22504,22380,22422,22650,22612,22571,22586,22671,22578,22342
50,3,7,5,85,Arkansas,Lonoke County,52828,52831,53124,53907,54974,56196,58040,59689,61940,63581,65233,66677
50,3,7,5,87,Arkansas,Madison County,14243,14243,14296,14302,14207,14270,14545,14840,15308,15538,15831,15875
50,3,7,5,89,Arkansas,Marion County,16140,16140,16156,16202,16094,16046,16177,16317,16584,16609,16802,16594
50,3,7,5,91,Arkansas,Miller County,40443,40441,40434,40637,40987,41450,41861,42294,42812,42901,43326,43522
50,3,7,5,93,Arkansas,Mississippi County,51979,51979,51827,50970,49877,48412,47603,47178,46736,46610,46760,46605
50,3,7,5,95,Arkansas,Monroe County,10254,10254,10179,9928,9667,9522,9218,9087,8848,8568,8355,8171
50,3,7,5,97,Arkansas,Montgomery County,9245,9240,9270,9174,9044,9068,9102,9065,9081,9068,9097,9009
50,3,7,5,99,Arkansas,Nevada County,9955,9955,9920,9810,9701,9641,9592,9535,9442,9331,9149,9164
50,3,7,5,101,Arkansas,Newton County,8608,8608,8647,8523,8506,8561,8437,8381,8377,8313,8294,8191
50,3,7,5,103,Arkansas,Ouachita County,28790,28790,28685,28049,27607,27318,26875,26626,26281,26023,25718,25432
50,3,7,5,105,Arkansas,Perry County,10209,10207,10236,10300,10338,10296,10281,10263,10237,10362,10297,10312
50,3,7,5,107,Arkansas,Phillips County,26445,26445,26268,25661,24772,24088,23618,23260,22458,21915,21458,20921
50,3,7,5,109,Arkansas,Pike County,11303,11303,11321,11224,11168,11012,10946,10842,10814,10828,10704,10627
50,3,7,5,111,Arkansas,Poinsett County,25614,25614,25617,25511,25237,25203,25071,25096,24949,24881,24716,24682
50,3,7,5,113,Arkansas,Polk County,20229,20229,20262,20150,20170,20079,19901,20004,20183,20137,20117,20259
50,3,7,5,115,Arkansas,Pope County,54469,54469,54500,54934,55307,55438,56363,57238,58397,59194,59772,60214
50,3,7,5,117,Arkansas,Prairie County,9539,9539,9504,9499,9380,9250,9038,8952,8876,8814,8657,8582
50,3,7,5,119,Arkansas,Pulaski County,361474,361469,361905,363113,364933,366375,367737,369543,373005,374992,378145,381904
50,3,7,5,121,Arkansas,Randolph County,18195,18195,18163,18184,18122,17998,18197,18067,18163,18040,18066,17952
50,3,7,5,123,Arkansas,St. Francis County,29329,29329,29284,28830,28544,28453,27930,27447,27095,26788,26260,26255
50,3,7,5,125,Arkansas,Saline County,83529,83531,83940,84763,85753,86715,88424,90252,92696,95391,97213,99449
50,3,7,5,127,Arkansas,Scott County,10996,10995,10991,10971,10947,10950,10884,10976,11230,11294,11228,11123
50,3,7,5,129,Arkansas,Searcy County,8261,8261,8273,8216,8109,7914,7933,7957,8025,8054,8031,7944
50,3,7,5,131,Arkansas,Sebastian County,115071,115077,115518,116273,116828,117157,117425,118488,120365,121741,122436,123597
50,3,7,5,133,Arkansas,Sevier County,15757,15757,15759,15601,15721,15839,16064,16321,16304,16376,16677,16904
50,3,7,5,135,Arkansas,Sharp County,17119,17119,17151,17289,17351,17478,17478,17541,17814,17738,17687,17664
50,3,7,5,137,Arkansas,Stone County,11499,11499,11522,11449,11529,11583,11589,11684,11987,11911,12028,11991
50,3,7,5,139,Arkansas,Union County,45629,45629,45572,45047,45021,44602,44151,43605,43460,42933,43005,42782
50,3,7,5,141,Arkansas,Van Buren County,16192,16192,16211,16224,16111,16180,16230,16318,16366,16461,16493,16418
50,3,7,5,143,Arkansas,Washington County,157715,157769,158806,163229,166983,171516,177043,184095,190581,194696,197210,200181
50,3,7,5,145,Arkansas,White County,67165,67162,67405,68339,68878,69446,70457,71435,72781,73667,74970,76338
50,3,7,5,147,Arkansas,Woodruff County,8741,8740,8690,8681,8451,8285,8104,8021,7875,7660,7472,7359
50,3,7,5,149,Arkansas,Yell County,21139,21139,21163,21198,21230,21294,21200,21291,21735,21852,22188,22496
40,4,9,6,0,California,California,33871648,33871648,33994571,34485623,34876194,35251107,35558419,35795255,35979208,36226122,36580371,36961664
50,4,9,6,1,California,Alameda County,1443741,1443744,1450220,1468918,1460576,1450968,1441781,1436453,1438193,1449020,1470326,1491482
50,4,9,6,3,California,Alpine County,1208,1208,1205,1175,1195,1172,1182,1123,1158,1144,1057,1041
50,4,9,6,5,California,Amador County,35100,35100,35173,35700,36506,36860,37213,37788,38072,38480,37980,37876
50,4,9,6,7,California,Butte County,203171,203171,203926,206384,209319,211584,213173,214831,216933,217741,219503,220577
50,4,9,6,9,California,Calaveras County,40554,40554,40696,41433,42583,44007,44852,45688,46524,46852,46944,46731
50,4,9,6,11,California,Colusa County,18804,18804,18829,19042,19264,19579,20219,20541,20889,21100,21155,21321
50,4,9,6,13,California,Contra Costa County,948816,948817,953192,971487,980446,987662,992747,999271,1001303,1010542,1025464,1041274
50,4,9,6,15,California,Del Norte County,27507,27507,27471,27341,27485,27722,28085,28471,28441,28746,28873,29114
50,4,9,6,17,California,El Dorado County,156299,156299,157134,160848,164675,167436,170486,173500,174995,175752,177009,178447
50,4,9,6,19,California,Fresno County,799407,798821,801444,812426,828245,844194,857162,867438,878024,889888,903133,915267
50,4,9,6,21,California,Glenn County,26453,26453,26451,26487,26705,27071,27193,27452,27714,27862,28127,28299
50,4,9,6,23,California,Humboldt County,126518,126518,126403,127002,127779,128219,128694,128943,129033,128564,128852,129623
50,4,9,6,25,California,Imperial County,142361,142361,142396,143152,144579,147254,149909,153047,156792,160366,163093,166874
50,4,9,6,27,California,Inyo County,17945,17945,17918,17945,18079,18127,17974,17737,17499,17438,17223,17293
50,4,9,6,29,California,Kern County,661645,661649,663484,674028,689204,706963,726029,747315,768209,784687,797145,807407
50,4,9,6,31,California,Kings County,129461,129461,129774,132453,134681,138714,142151,143178,145168,147622,148746,148764
50,4,9,6,33,California,Lake County,58309,58309,58551,60321,61674,62692,63390,64143,64623,64644,65092,65279
50,4,9,6,35,California,Lassen County,33828,33828,33749,33503,33300,33695,34102,34037,34078,35005,34547,34473
50,4,9,6,37,California,Los Angeles County,9519338,9519331,9542578,9634764,9717871,9777324,9808494,9803912,9760598,9734701,9779254,9848011
50,4,9,6,39,California,Madera County,123109,123109,123566,125423,127841,132017,136516,139672,142865,145223,147577,148632
50,4,9,6,41,California,Marin County,247289,247289,247614,247958,246332,245030,243677,244024,244336,246100,248345,250750
50,4,9,6,43,California,Mariposa County,17130,17130,17143,17106,17202,17585,17656,17714,17896,17963,17960,17792
50,4,9,6,45,California,Mendocino County,86265,86263,86396,86614,86911,87415,87092,86803,85959,85560,85786,86040
50,4,9,6,47,California,Merced County,210554,211132,212122,217937,223666,228993,233529,237901,240516,243083,244356,245321
50,4,9,6,49,California,Modoc County,9449,9449,9415,9291,9240,9319,9359,9261,9252,9100,9089,9107
50,4,9,6,51,California,Mono County,12853,12853,12896,13125,13191,13043,12919,12888,13102,12825,12881,12927
50,4,9,6,53,California,Monterey County,401762,401761,403065,407065,409210,410419,408867,405090,401374,402116,405660,410370
50,4,9,6,55,California,Napa County,124279,124279,124545,126731,128584,129800,130007,129859,130818,131949,133591,134650
50,4,9,6,57,California,Nevada County,92033,92033,92503,93594,94412,95195,95974,96554,96772,96942,97297,97751
50,4,9,6,59,California,Orange County,2846289,2846297,2856372,2890972,2917106,2940109,2956096,2957263,2953062,2957902,2989141,3026786
50,4,9,6,61,California,Placer County,248399,248399,251274,264221,277833,291883,304386,314619,324213,331870,341041,348552
50,4,9,6,63,California,Plumas County,20824,20824,20764,20825,20861,20929,20963,20957,20704,20606,20359,20122
50,4,9,6,65,California,Riverside County,1545387,1545374,1559109,1614698,1682749,1763765,1845631,1917401,1994840,2055924,2087917,2125440
50,4,9,6,67,California,Sacramento County,1223499,1223497,1230150,1265432,1299105,1324971,1344279,1354695,1362328,1373585,1386469,1400949
50,4,9,6,69,California,San Benito County,53234,53234,53827,54752,55217,55376,55090,54930,54468,54505,54797,55058
50,4,9,6,71,California,San Bernardino County,1709434,1709443,1718469,1761558,1800599,1847860,1899689,1943934,1973664,1992989,2004914,2017673
50,4,9,6,73,California,San Diego County,2813833,2813834,2824987,2867094,2901235,2926814,2935672,2941770,2947222,2975656,3019274,3053793
50,4,9,6,75,California,San Francisco County,776733,776731,777360,784631,779281,775046,773284,777660,786149,799185,808001,815358
50,4,9,6,77,California,San Joaquin County,563598,563603,567968,591000,608367,625236,640964,654451,659897,665246,668753,674860
50,4,9,6,79,California,San Luis Obispo County,246681,246681,247878,251499,252932,254240,256095,257567,259366,261706,265134,266971
50,4,9,6,81,California,San Mateo County,707161,707164,708272,706634,699043,694437,692033,692199,692802,697339,708100,718989
50,4,9,6,83,California,Santa Barbara County,399347,399356,399784,401456,402079,402366,401130,400256,398656,400499,403655,407057
50,4,9,6,85,California,Santa Clara County,1682585,1682584,1685842,1690395,1673028,1667762,1668984,1682383,1700089,1723927,1755849,1784642
50,4,9,6,87,California,Santa Cruz County,255602,255600,255834,255644,253708,251559,250420,248957,248758,250126,252929,256218
50,4,9,6,89,California,Shasta County,163256,163256,163782,166968,171141,174417,176467,177537,178449,179334,180515,181099
50,4,9,6,91,California,Sierra County,3555,3555,3569,3506,3462,3479,3394,3332,3371,3312,3250,3174
50,4,9,6,93,California,Siskiyou County,44301,44301,44230,43894,43908,44163,44229,44409,44220,44222,44535,44634
